provider_type_cd,provider_type_desc,medicare_specialty_code,medicare_speciality_code_desc,id
14-E5,PRACTITIONER - ENDODONTICS,E5,ENDODONTICS,91
14-E6,PRACTITIONER - ORAL AND MAXILLOFACIAL PATHOLOGY,E6,ORAL AND MAXILLOFACIAL PATHOLOGY,92
14-E7,PRACTITIONER - ORAL AND MAXILLOFACIAL RADIOLOGY,E7,ORAL AND MAXILLOFACIAL RADIOLOGY,93
14-E9,PRACTITIONER - ORAL MEDICINE,E9,ORAL MEDICINE,94
14-F1,PRACTITIONER - OROFACIAL PAIN,F1,OROFACIAL PAIN,95
14-F2,PRACTITIONER - ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,F2,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,96
14-F3,PRACTITIONER - PEDIATRIC DENTISTRY,F3,PEDIATRIC DENTISTRY,97
14-F4,PRACTITIONER - PERIODONTICS,F4,PERIODONTICS,98
14-F5,PRACTITIONER - PROSTHODONTICS,F5,PROSTHODONTICS,99
14-F6,PRACTITIONER - EPILEPTOLOGISTS,F6,EPILEPTOLOGISTS,100
30-01,DME SUPPLIER - PHYSICIAN - GENERAL PRACTICE,01,GENERAL PRACTICE,101
30-02,DME SUPPLIER - PHYSICIAN - GENERAL SURGERY,02,GENERAL SURGERY,102
30-03,DME SUPPLIER - PHYSICIAN - ALLERGY/IMMUNOLOGY,03,ALLERGY/IMMUNOLOGY,103
30-04,DME SUPPLIER - PHYSICIAN - OTOLARYNGOLOGY,04,OTOLARYNGOLOGY,104
30-05,DME SUPPLIER - PHYSICIAN - ANESTHESIOLOGY,05,ANESTHESIOLOGY,105
30-06,DME SUPPLIER - PHYSICIAN - CARDIOLOGY,06,CARDIOLOGY,106
30-07,DME SUPPLIER - PHYSICIAN - DERMATOLOGY,07,DERMATOLOGY,107
30-08,DME SUPPLIER - PHYSICIAN - FAMILY PRACTICE,08,FAMILY PRACTICE,108
30-11,DME SUPPLIER - PHYSICIAN - INTERNAL MEDICINE,11,INTERNAL MEDICINE,109
30-12,DME SUPPLIER - PHYSICIAN - OSTEOPATHIC MANIPULATIVE MEDICINE,12,OSTEOPATHIC MANIPULATIVE MEDICINE,110
30-13,DME SUPPLIER - PHYSICIAN - NEUROLOGY,13,NEUROLOGY,111
30-14,DME SUPPLIER - PHYSICIAN - NEUROSURGERY,14,NEUROSURGERY,112
30-16,DME SUPPLIER - PHYSICIAN - OBSTETRICS/GYNECOLOGY,16,OBSTETRICS/GYNECOLOGY,113
30-18,DME SUPPLIER - PHYSICIAN - OPHTHALMOLOGY,18,OPHTHALMOLOGY,114
30-19,DME SUPPLIER - ORAL SURGERY - DENTIST,19,DENTIST,115
30-20,DME SUPPLIER - PHYSICIAN - ORTHOPEDIC/ORTHOPEDIC SURGERY,20,ORTHOPEDIC/ORTHOPEDIC SURGERY,116
30-22,DME SUPPLIER - PHYSICIAN - PATHOLOGY,22,PATHOLOGY,117
30-23,DME SUPPLIER - SPORTS MEDICINE,23,SPORTS MEDICINE,118
30-24,DME SUPPLIER - PHYSICIAN - PLASTIC AND RECONSTRUCTIVE SURGERY,24,PLASTIC AND RECONSTRUCTIVE SURGERY,119
30-25,DME SUPPLIER - PHYSICIAN - PHYSICAL AND REHABILITATION,25,PHYSICAL AND REHABILITATION,120
30-28,DME SUPPLIER - PHYSICIAN - COLORECTAL SURGERY (FORMERLY PROCTOLOGY),28,COLORECTAL SURGERY (FORMERLY PROCTOLOGY),121
30-29,DME SUPPLIER - PHYSICIAN - PULMONARY DISEASE,29,PULMONARY DISEASE,122
30-30,DME SUPPLIER - PHYSICIAN - DIAGNOSTIC RADIOLOGY,30,DIAGNOSTIC RADIOLOGY,123
