"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA,Physician Assistant,207XX0801X,ORTHOPAEDIC TRAUMA PHYSICIAN,30
PA,Physician Assistant,207VG0400X,GYNECOLOGY PHYSICIAN,27
PA,Physician Assistant,207RG0300X,GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN,26
PA,Physician Assistant,207RS0012X,SLEEP MEDICINE (INTERNAL MEDICINE) PHYSICIAN,26
PA,Physician Assistant,207VX0201X,GYNECOLOGIC ONCOLOGY PHYSICIAN,26
PA-C,Physician Assistant Certified,207RP1001X,PULMONARY DISEASE PHYSICIAN,26
PA,Physician Assistant,207RH0002X,HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,25
PA,Physician Assistant,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,25
PA-C,Physician Assistant Certified,207RR0500X,RHEUMATOLOGY PHYSICIAN,25
PA,Physician Assistant,2080P0207X,PEDIATRIC HEMATOLOGY & ONCOLOGY PHYSICIAN,24
PA-C,Physician Assistant Certified,204F00000X,TRANSPLANT SURGERY PHYSICIAN,24
PA,Physician Assistant,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,23
PA-C,Physician Assistant Certified,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,23
PA-C,Physician Assistant Certified,207RH0002X,HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,23
PA-C,Physician Assistant Certified,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,23
PA,Physician Assistant,207XS0114X,ADULT RECONSTRUCTIVE ORTHOPAEDIC SURGERY PHYSICIAN,22
PA,Physician Assistant,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,22
PA-C,Physician Assistant Certified,207RI0200X,INFECTIOUS DISEASE PHYSICIAN,22
PA-C,Physician Assistant Certified,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,22
PA,Physician Assistant,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,21
PA,Physician Assistant,207ZP0101X,ANATOMIC PATHOLOGY PHYSICIAN,21
PA-C,Physician Assistant Certified,207XX0801X,ORTHOPAEDIC TRAUMA PHYSICIAN,21
PA-C,Physician Assistant Certified,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,21
PAC,Physician Assistant Certified,208000000X,PEDIATRICS PHYSICIAN,21
PAC,Physician Assistant Certified,208M00000X,HOSPITALIST PHYSICIAN,21
MPAS,Master of Physician Assistant Studies,207Q00000X,FAMILY MEDICINE PHYSICIAN,20
PA,Physician Assistant,207XP3100X,PEDIATRIC ORTHOPAEDIC SURGERY PHYSICIAN,20
PA-C,Physician Assistant Certified,207NS0135X,PROCEDURAL DERMATOLOGY PHYSICIAN,19
PA-C,Physician Assistant Certified,2080P0207X,PEDIATRIC HEMATOLOGY & ONCOLOGY PHYSICIAN,19
PA-C,Physician Assistant Certified,2081P2900X,PAIN MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,19
PA,Physician Assistant,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,18
PA,Physician Assistant,2080A0000X,PEDIATRIC ADOLESCENT MEDICINE PHYSICIAN,18
PA,Physician Assistant,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,18
PA-C,Physician Assistant Certified,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,18
PA,Physician Assistant,207NP0225X,PEDIATRIC DERMATOLOGY PHYSICIAN,17
PA,Physician Assistant,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,17
PA,Physician Assistant,2080P0202X,PEDIATRIC CARDIOLOGY PHYSICIAN,17
PA-C,Physician Assistant Certified,207RN0300X,NEPHROLOGY PHYSICIAN,17
PA-C,Physician Assistant Certified,207RS0012X,SLEEP MEDICINE (INTERNAL MEDICINE) PHYSICIAN,17
