﻿"facetCredentialCode","facetCredentialName","chosenTaxonomyCode","chosenTaxonomyDescription","providerCount"
"MFT","Marriage and Family Therapist","2084P0800X","PSYCHIATRY PHYSICIAN","60"
"PAC","Physician Assistant Certified","207N00000X","DERMATOLOGY PHYSICIAN","60"
"ATC","Athletic Trainer Certified","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","59"
"PA","Physician Assistant","208200000X","PLASTIC SURGERY PHYSICIAN","59"
"WHNP","Womens Health Nurse Practitioner","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","59"
"APRN-CNP","Advanced Practice Registered Nurse - Certified Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","58"
"PA","Physician Assistant","2085R0204X","VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN","58"
"PA-C","Physician Assistant Certified","207RE0101X","ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN","58"
"CNM","Certified Nurse Midwife","207VX0000X","OBSTETRICS PHYSICIAN","57"
"PA-C","Physician Assistant Certified","208200000X","PLASTIC SURGERY PHYSICIAN","57"
"PA-C","Physician Assistant Certified","208D00000X","GENERAL PRACTICE PHYSICIAN","57"
"ARNP","Advanced Registered Nurse Practitioner","207R00000X","INTERNAL MEDICINE PHYSICIAN","56"
"MS","Master of Science","2084P0800X","PSYCHIATRY PHYSICIAN","56"
"PA","Physician Assistant","2086S0129X","VASCULAR SURGERY PHYSICIAN","56"
"PA-C","Physician Assistant Certified","207Y00000X","OTOLARYNGOLOGY PHYSICIAN","56"
"PAC","Physician Assistant Certified","207R00000X","INTERNAL MEDICINE PHYSICIAN","56"
"NP","Nurse Practitioner","207QA0401X","ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN","55"
"WHNP-BC","Womens Health Nurse Practitioner Board Certified","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","55"
"FNP-C","Family Nurse Practitioner","208D00000X","GENERAL PRACTICE PHYSICIAN","54"
"MS","Master of Science","2081S0010X","SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN","54"
"NNP-BC","Neonatal Nurse Practitioner Board Certified","2080N0001X","NEONATAL-PERINATAL MEDICINE PHYSICIAN","54"
"PA","Physician Assistant","207RX0202X","MEDICAL ONCOLOGY PHYSICIAN","54"
"CNP","Certified Nurse Practitioner","207R00000X","INTERNAL MEDICINE PHYSICIAN","53"
"DPT","Doctor of Physical Therapy","2081P0010X","PEDIATRIC REHABILITATION MEDICINE PHYSICIAN","53"
"FNP","Family Nurse Practitioner","207RC0000X","CARDIOVASCULAR DISEASE PHYSICIAN","53"
"NP","Nurse Practitioner","207Y00000X","OTOLARYNGOLOGY PHYSICIAN","53"
"PA","Physician Assistant","2086S0122X","PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN","53"
"PA-C","Physician Assistant Certified","207QA0505X","ADULT MEDICINE PHYSICIAN","53"
"PHD","Doctor of Philosophy","2084N0400X","NEUROLOGY PHYSICIAN","53"
"RN","Registered Nurse","207L00000X","ANESTHESIOLOGY PHYSICIAN","53"
"APN","Advanced Practice Nurse","2084P0800X","PSYCHIATRY PHYSICIAN","52"
"LCSW","Licensed Clinical Social Worker","207RI0011X","INTERVENTIONAL CARDIOLOGY PHYSICIAN","52"
"PA-C","Physician Assistant Certified","207PE0004X","EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN","52"
"ARNP","Advanced Registered Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","50"
"CRNP","Certified Registered Nurse Practitioner","207R00000X","INTERNAL MEDICINE PHYSICIAN","50"
"PA","Physician Assistant","2080P0204X","PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS) PHYSICIAN","50"
"PA","Physician Assistant","2086S0127X","TRAUMA SURGERY PHYSICIAN","50"
"NP","Nurse Practitioner","2080P0202X","PEDIATRIC CARDIOLOGY PHYSICIAN","49"
"NP","Nurse Practitioner","2086S0129X","VASCULAR SURGERY PHYSICIAN","49"
"ND","Doctor of Naturopathic Medicine","208D00000X","GENERAL PRACTICE PHYSICIAN","48"
"NP","Nurse Practitioner","207K00000X","ALLERGY & IMMUNOLOGY PHYSICIAN","48"
"NP","Nurse Practitioner","2083P0011X","UNDERSEA AND HYPERBARIC MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN","48"
"NP-C","Nurse Practitioner Certified","207R00000X","INTERNAL MEDICINE PHYSICIAN","48"
"PA-C","Physician Assistant Certified","207RC0200X","CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN","48"
"RT","Respiratory Therapist","2085R0202X","DIAGNOSTIC RADIOLOGY PHYSICIAN","48"
"CSW","Clinical Social Worker","207RI0011X","INTERVENTIONAL CARDIOLOGY PHYSICIAN","47"
"DNP","Doctor of Nursing Practice","207R00000X","INTERNAL MEDICINE PHYSICIAN","47"
"DVM","Doctor of Veterinary Medicine","208D00000X","GENERAL PRACTICE PHYSICIAN","47"
"MS","Master of Science","204E00000X","ORAL & MAXILLOFACIAL SURGERY (D.M.D.)","47"
"PA","Physician Assistant","207RP1001X","PULMONARY DISEASE PHYSICIAN","47"
"PA-C","Physician Assistant Certified","207XX0005X","SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN","47"
"PA-C","Physician Assistant Certified","2086S0127X","TRAUMA SURGERY PHYSICIAN","47"
"CFNP","Certified Family Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","46"
"FNP","Family Nurse Practitioner","208VP0000X","PAIN MEDICINE PHYSICIAN","46"
"NP","Nurse Practitioner","207LP2900X","PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN","46"
"PA-C","Physician Assistant Certified","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","46"
"PharmD","Doctor of Pharmacy","208D00000X","GENERAL PRACTICE PHYSICIAN","46"
"DDS","Doctor of Dental Surgery","208D00000X","GENERAL PRACTICE PHYSICIAN","45"
"FNP-C","Family Nurse Practitioner","207P00000X","EMERGENCY MEDICINE PHYSICIAN","45"
"PA","Physician Assistant","207K00000X","ALLERGY & IMMUNOLOGY PHYSICIAN","45"
"PA","Physician Assistant","2086X0206X","SURGICAL ONCOLOGY PHYSICIAN","45"
"PA","Physician Assistant","208VP0014X","INTERVENTIONAL PAIN MEDICINE PHYSICIAN","45"
"PAC","Physician Assistant Certified","207X00000X","ORTHOPAEDIC SURGERY PHYSICIAN","45"
"FNP-C","Family Nurse Practitioner","207N00000X","DERMATOLOGY PHYSICIAN","44"
"PA-C","Physician Assistant Certified","2085R0204X","VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN","44"
"RN","Registered Nurse","208D00000X","GENERAL PRACTICE PHYSICIAN","44"
"NP","Nurse Practitioner","2080P0206X","PEDIATRIC GASTROENTEROLOGY PHYSICIAN","43"
"PA","Physician Assistant","207L00000X","ANESTHESIOLOGY PHYSICIAN","43"
"COTA","Certified Occupational Therapy Assistant","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","42"
"FNP-BC","Family Nurse Practitioner Board Certified","207R00000X","INTERNAL MEDICINE PHYSICIAN","42"
"MS","Master of Science","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","42"
"NP","Nurse Practitioner","207RR0500X","RHEUMATOLOGY PHYSICIAN","42"
"NP","Nurse Practitioner","2086S0127X","TRAUMA SURGERY PHYSICIAN","42"
"LPTA","Licensed Physical Therapist Assistant","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","41"
"PA","Physician Assistant","207RR0500X","RHEUMATOLOGY PHYSICIAN","41"
"APNP","Advanced Practice Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","40"
"CNP","Certified Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","40"
"FNP-C","Family Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","40"
"LMT","Licensed Massage Therapist","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","40"
"PA","Physician Assistant","207XS0117X","ORTHOPAEDIC SURGERY OF THE SPINE PHYSICIAN","40"
"PA","Physician Assistant","2086S0120X","PEDIATRIC SURGERY PHYSICIAN","40"
"PA-C","Physician Assistant Certified","2086S0122X","PLASTIC AND RECONSTRUCTIVE SURGERY PHYSICIAN","40"
"ATC","Athletic Trainer Certified","204C00000X","SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN","39"
"LAT","Licensed Athletic Trainer","2083S0010X","SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN","39"
"MSN","Master of Science in Nursing","207R00000X","INTERNAL MEDICINE PHYSICIAN","39"
"NP","Nurse Practitioner","207VX0000X","OBSTETRICS PHYSICIAN","39"
"PHD","Doctor of Philosophy","2085R0205X","RADIOLOGICAL PHYSICS PHYSICIAN","39"
"PT","Physical Therapist","2081N0008X","NEUROMUSCULAR MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN","39"
"RN","Registered Nurse","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","39"
"ARNP","Advanced Registered Nurse Practitioner","2084P0800X","PSYCHIATRY PHYSICIAN","38"
"CRNP","Certified Registered Nurse Practitioner","2084P0800X","PSYCHIATRY PHYSICIAN","38"
"DNP","Doctor of Nursing Practice","207V00000X","OBSTETRICS & GYNECOLOGY PHYSICIAN","38"
"FNP","Family Nurse Practitioner","207RH0003X","HEMATOLOGY & ONCOLOGY PHYSICIAN","38"
"FNP","Family Nurse Practitioner","2084P0800X","PSYCHIATRY PHYSICIAN","38"
"PA-C","Physician Assistant Certified","207RI0011X","INTERVENTIONAL CARDIOLOGY PHYSICIAN","38"
"PA-C","Physician Assistant Certified","2085R0202X","DIAGNOSTIC RADIOLOGY PHYSICIAN","38"
"CNP","Certified Nurse Practitioner","2084P0800X","PSYCHIATRY PHYSICIAN","37"
"DPM","Doctor of Podiatric Medicine","207X00000X","ORTHOPAEDIC SURGERY PHYSICIAN","37"
"PA-C","Physician Assistant Certified","2086S0129X","VASCULAR SURGERY PHYSICIAN","37"
"ARNP","Advanced Registered Nurse Practitioner","208M00000X","HOSPITALIST PHYSICIAN","36"
"FNP","Family Nurse Practitioner","208800000X","UROLOGY PHYSICIAN","36"
"FNP-BC","Family Nurse Practitioner Board Certified","207QA0505X","ADULT MEDICINE PHYSICIAN","36"
"LCSW","Licensed Clinical Social Worker","2084P0804X","CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN","36"
"NP","Nurse Practitioner","2084P0802X","ADDICTION PSYCHIATRY PHYSICIAN","36"
"PsyD","Doctor of Psychology","2084P0804X","CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN","36"
"APN","Advanced Practice Nurse","208000000X","PEDIATRICS PHYSICIAN","35"
