"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
OD,Doctor of Optometry,207WX0110X,PEDIATRIC OPHTHALMOLOGY AND STRABISMUS SPECIALIST PHYSICIAN,2
OD,Doctor of Optometry,207WX0120X,CORNEA AND EXTERNAL DISEASES SPECIALIST PHYSICIAN,2
OD,Doctor of Optometry,208D00000X,GENERAL PRACTICE PHYSICIAN,2
OD,Doctor of Optometry,208M00000X,HOSPITALIST PHYSICIAN,2
OMD,Oriental Medicine Doctor,208D00000X,GENERAL PRACTICE PHYSICIAN,2
OMD,Oriental Medicine Doctor,208VP0000X,PAIN MEDICINE PHYSICIAN,2
OMFS,Oral and Maxillofacial Surgeon,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),2
OT,Occupational Therapist,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,2
OT,Occupational Therapist,2083P0500X,PREVENTIVE MEDICINE/OCCUPATIONAL ENVIRONMENTAL MEDICINE PHYSICIAN,2
OT/L,Occupational Therapist Licensed,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,2
OTD,Doctor of Occupational Therapy,208000000X,PEDIATRICS PHYSICIAN,2
OTD,Doctor of Occupational Therapy,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,2
OTR,Occupational Therapist Registered,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,2
OTR,Occupational Therapist Registered,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
OTR,Occupational Therapist Registered,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
OTR,Occupational Therapist Registered,208M00000X,HOSPITALIST PHYSICIAN,2
OTR/L,Occupational Therapist Registered/Licensed,207R00000X,INTERNAL MEDICINE PHYSICIAN,2
OTR/L,Occupational Therapist Registered/Licensed,2080P0008X,PEDIATRIC NEURODEVELOPMENTAL DISABILITIES PHYSICIAN,2
OTR/L,Occupational Therapist Registered/Licensed,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,2
OTRL,Occupational Therapist Registered Licensed,208000000X,PEDIATRICS PHYSICIAN,2
PC,Pharmacist Clinician,2080P0203X,PEDIATRIC CRITICAL CARE MEDICINE PHYSICIAN,2
PC,Pharmacist Clinician,2086S0120X,PEDIATRIC SURGERY PHYSICIAN,2
PHD,Doctor of Philosophy,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,2
PHD,Doctor of Philosophy,207P00000X,EMERGENCY MEDICINE PHYSICIAN,2
PHD,Doctor of Philosophy,207QA0401X,ADDICTION MEDICINE (FAMILY MEDICINE) PHYSICIAN,2
PHD,Doctor of Philosophy,207RC0001X,CLINICAL CARDIAC ELECTROPHYSIOLOGY PHYSICIAN,2
PHD,Doctor of Philosophy,207RG0100X,GASTROENTEROLOGY PHYSICIAN,2
PHD,Doctor of Philosophy,207RG0300X,GERIATRIC MEDICINE (INTERNAL MEDICINE) PHYSICIAN,2
PHD,Doctor of Philosophy,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,2
